polyname,polyname_1,Pubchem Smiles,Cirpy Smiles
poly(llysine),['llysine'],['None'],['None']
poly(pentapeptide),['pentapeptide'],['C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@H](C(=O)[O-])[NH3+])C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)[O-])C(=O)[O-])[NH3+]'],['None']
poly(lglutamate),['lglutamate'],['None'],['None']
poly(\u03b1-amino acid),['\\u03b1-amino acid'],['None'],['None']
poly(l-glutamic acid),['l-glutamic acid'],['C(CC(=O)O)[C@@H](C(=O)O)N'],['N[C@@H](CCC(O)=O)C(O)=O']
poly(a-amino acid),['a-amino acid'],['None'],['None']
poly(meric primary amine),['meric primary amine'],['None'],['None']
poly(styrene),['styrene'],['C=CC1=CC=CC=C1'],['C=Cc1ccccc1']
poly(unsaturated cycloolefine),['unsaturated cycloolefine'],['None'],['None']
poly(butadiene),['butadiene'],['C=CC=C'],['C=CC=C']
poly(isobutylene-co-diene),"['isobutylene', 'diene']","['CC(=C)C', 'None']","['CC(C)=C', 'None']"
poly(methacrylate-co-butadiene),"['methacrylate', 'butadiene']","['CC(=C)C(=O)[O-]', 'C=CC=C']","['CC(=C)C([O-])=O', 'C=CC=C']"
poly(butyl methacrylate-co-butadiene),"['butyl methacrylate', 'butadiene']","['CCCCOC(=O)C(=C)C', 'C=CC=C']","['CCCCOC(=O)C(C)=C', 'C=CC=C']"
poly(butyl methacrylate),['butyl methacrylate'],['CCCCOC(=O)C(=C)C'],['CCCCOC(=O)C(C)=C']
poly( 4000),[' 4000'],['None'],['None']
poly(l-glutamate),['l-glutamate'],['C(CC(=O)O)[C@@H](C(=O)O)N'],['N[C@@H](CCC([O-])=O)C([O-])=O']
poly(ether),['ether'],['CCOCC'],['CCOCC']
poly(phenylene),['phenylene'],['CNC[C@@H](C1=CC(=CC=C1)O)O'],['None']
poly(ester),['ester'],['None'],['None']
poly( pin-mamnii),[' pin-mamnii'],['None'],['None']
poly(cytidylic acid sodium),['cytidylic acid sodium'],['None'],['None']
poly(uridylic acid),['uridylic acid'],['C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O'],['O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(O)=O)N2C=CC(=O)NC2=O']
poly(inosinic acid [6]),['inosinic acid [6]'],['None'],['None']
poly(ccuii),['ccuii'],['None'],['None']
poly(cytidylic acid e.),['cytidylic acid e.'],['None'],['None']
poly(c-h),['c-h'],['None'],['None']
poly(meric keto ester),['meric keto ester'],['None'],['None']
poly(meric oximes 4 or thioketal),['meric oximes 4 or thioketal'],['None'],['None']
poly(meric alcohol 8  scheme 4),['meric alcohol 8  scheme 4'],['None'],['None']
poly(meric esters 7 the tosylhydrazone),['meric esters 7 the tosylhydrazone'],['None'],['None']
poly(meric alcohols 8 a),['meric alcohols 8 a'],['None'],['None']
poly(mer 2),['mer 2'],['None'],['None']
poly(styrene-divinylbenzene),['styrene-divinylbenzene'],['C=CC1=CC=CC=C1.C=CC1=CC=CC=C1C=C'],['C=Cc1ccccc1.C=Cc2ccccc2C=C']
poly(meric carboxylic acid),['meric carboxylic acid'],['None'],['None']
poly(thioetheramidoacid),['thioetheramidoacid'],['None'],['None']
poly(thioether-amido-acid),['thioether-amido-acid'],['None'],['None']
poly(maleic anhydride),['maleic anhydride'],['C1=CC(=O)OC1=O'],['O=C1OC(=O)C=C1']
poly(methylmethacrylate),['methylmethacrylate'],['CC(=C)C(=O)OC'],['COC(=O)C(C)=C']
poly(ethyleneglycoldimethacrylate-hydroxyethylmethacrylate),['ethyleneglycoldimethacrylate-hydroxyethylmethacrylate'],['None'],['None']
poly(egdmahema),['egdmahema'],['None'],['None']
poly(egdma-hema),['egdma-hema'],['None'],['None']
poly(  spiropyran-l-glutamate),['  spiropyran-l-glutamate'],['None'],['None']
poly(amino acid),['amino acid'],['None'],['None']
poly(l-lysine),['l-lysine'],['C(CCN)C[C@@H](C(=O)O)N'],['NCCCC[C@H](N)C(O)=O']
poly(butyl methacrylate-cobutadiene),['butyl methacrylate-cobutadiene'],['None'],['None']
poly(ester ab2),['ester ab2'],['None'],['None']
poly(c-cu11),['c-cu11'],['None'],['None']
poly(c-cuii),['c-cuii'],['None'],['None']
poly(cytidylic acid),['cytidylic acid'],['C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O'],['NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(O)=O)C(O)C2O']
poly(egdma-hema alkali blue 613),['egdma-hema alkali blue 613'],['None'],['None']
poly(vinylalcohol),['vinylalcohol'],['C=CO'],['OC=C']